Date,Country,local_price,dollar_valuation
2006-05-31,NOR,43.0,127.30720780584
2008-06-30,NOR,40.0,120.59757622274
2007-01-31,NOR,41.5,111.20231318952
2013-01-31,VEN,39.0,107.92862208934
2011-07-31,NOR,45.0,104.47004924423
2007-06-30,NOR,40.0,101.76138699655
2011-07-31,CHE,6.5,98.352166490095
2005-06-30,NOR,39.0,98.132917315171
2010-01-31,NOR,40.0,96.173931535004
2010-07-31,NOR,45.0,92.972926613111
2011-07-31,SWE,48.4,87.942275937471
2012-07-31,VEN,34.0,82.942270353796
2013-01-31,NOR,43.0,79.564191157101
2004-05-31,NOR,35.5,78.729750045186
2008-06-30,SWE,38.0,78.569460782963
2008-06-30,CHE,6.5,78.12730923216
2010-01-31,CHE,6.5,76.079373330801
2010-07-31,SWE,48.4,75.821493233052
2009-07-31,NOR,40.0,72.131686334326
2003-04-30,CHE,6.3,69.687828265144
2014-01-31,NOR,48.0,68.580316420893
2004-05-31,CHE,6.3,68.404170008019
2006-05-31,CHE,6.3,68.114990653607
2009-07-31,CHE,6.5,67.646820249208
2010-01-31,DNK,30.94,67.426226533745
2008-06-30,DNK,28.0,66.719183209378
2012-01-31,VEN,30.0,66.430050539625
2010-07-31,CHE,6.5,65.682202842597
2005-06-30,CHE,6.3,65.035954261464
2013-07-31,NOR,46.0,64.734563019547
2002-04-30,NOR,35.0,64.208234808392
2013-01-31,CHE,6.5,63.137245945406
2012-07-31,NOR,43.0,63.105242363224
2012-01-31,CHE,6.5,62.144707624857
2014-07-31,NOR,48.0,61.789916905204
2012-01-31,NOR,41.0,61.730665952251
2011-07-31,VEN,28.0,60.387199904272
2015-01-31,CHE,6.5,57.487812563336
2013-07-31,VEN,45.0,56.953005956413
2007-01-31,CHE,6.3,56.70979087949
2006-01-31,CHE,6.3,56.543519098309
2009-07-31,DNK,29.5,54.816024770564
2014-01-31,VEN,45.0,54.661927657176
2014-01-31,CHE,6.5,54.459499724097
2006-05-31,DNK,27.75,53.854043797118
2004-05-31,DNK,27.75,53.841889344717
2010-01-31,SWE,39.0,53.822379641679
2007-06-30,CHE,6.3,52.535281652766
2002-04-30,CHE,6.3,52.416896501669
2012-07-31,CHE,6.5,51.627493703668
2011-07-31,BRA,9.5,51.597260653458
2003-04-30,DNK,27.75,51.030271364661
2007-01-31,DNK,27.75,49.799018300906
2008-06-30,EUR,3.36856,49.65559070028
2005-06-30,DNK,27.75,49.531344517955
2007-06-30,DNK,27.75,49.036315074693
2021-07-31,VEN,30164100.0,47.725
2013-07-31,CHE,6.5,47.455173249242
2013-01-31,SWE,40.559301380991,46.267858453463
2006-05-31,SWE,33.0,46.133409617925
2001-04-30,CHE,6.3,43.370806972828
2000-04-30,ISR,14.5,42.639319266145
2006-01-31,DNK,27.75,42.62046996914
2007-06-30,SWE,33.0,42.489959801208
2015-07-31,CHE,6.5,42.421676842148
2014-07-31,CHE,6.16,42.361650359787
2014-07-31,VEN,75.0,42.193572850507
2007-01-31,SWE,32.0,41.138124605116
2012-01-31,SWE,41.0,40.880476691714
2012-07-31,PRT,4.95,38.674350086655
2000-04-30,CHE,5.9,38.27044762128
2009-07-31,SWE,39.0,38.123183248505
2005-06-30,SWE,31.0,36.16191707546
2014-01-31,SWE,40.7,35.970676893447
2004-05-31,SWE,30.0,35.937287597988
2006-01-31,SWE,33.0,35.844480299154
2010-01-31,EUR,3.36,35.305698324022
2012-01-31,BRA,10.25,35.295990205679
2013-07-31,SWE,41.61,35.117932041644
2011-07-31,DNK,28.5,34.868472538951
2011-07-31,IRL,3.8,34.018942189422
2010-01-31,BRA,8.2,32.913758097609
2003-04-30,SWE,30.0,32.735140301043
2008-06-30,BRA,7.5,32.578589936543
2012-07-31,SWE,39.973019865841,32.378540760841
2011-07-31,BEL,3.75,32.255535055351
2011-07-31,FIN,3.75,32.255535055351
2015-01-31,NOR,48.0,31.464438527023
2010-07-31,BRA,8.71,31.442334391713
2010-07-31,DNK,28.5,31.3104258328
2016-07-31,CHE,6.5,30.786181896617
2016-01-31,CHE,6.5,30.695719453796
2008-06-30,HUN,670.0,30.096999973666
2009-07-31,EUR,3.31,29.33106442577
2013-01-31,BRA,11.25,29.224960038662
2021-01-31,CHE,6.5,28.799999999999997
2018-01-31,CHE,6.5,28.122038409804
2012-01-31,DNK,31.5,28.041621363253
2008-06-30,GBR,2.29,28.025112044818
2008-06-30,CZE,66.08,27.671870309724
2017-07-31,CHE,6.5,27.201690021223
2017-01-31,CHE,6.5,25.496774153688
2013-01-31,URY,105.0,24.698064913656
2021-07-31,CHE,6.5,24.675
2014-07-31,SWE,40.7,24.16630108284
2013-01-31,CAN,5.41,23.514253628344
2011-07-31,ITA,3.5,23.438499384994
2011-07-31,FRA,3.5,23.438499384994
2011-07-31,ESP,3.5,23.438499384994
2011-07-31,CAN,4.73,23.020736471572
2000-04-30,DNK,24.75,22.64375334483
2007-06-30,EUR,3.0574824433737,22.196186156946
2014-07-31,BRA,13.0,22.110458537687
2011-07-31,AUS,4.56,21.616826568266
2006-05-31,EUR,2.9395735292629,21.513435454
2002-04-30,TUR,4000000.0,21.285443775858
2011-07-31,EUR,3.4376604013616,21.23989752551
2008-06-30,TUR,5.15,20.945464750562
2020-07-31,CHE,6.5,20.941000000000003
2014-01-31,FIN,4.1,20.269129572896
2022-01-31,CHE,6.5,20.161
2011-07-31,URY,90.0,20.001200012
2011-07-31,DEU,3.4,19.911685116851
2013-01-31,ITA,3.85,19.61951010089
2000-04-30,GBR,1.9,19.601593625498
2007-01-31,GBR,1.94,19.059968944099
2011-07-31,ARG,20.0,19.057451917532
2018-07-31,CHE,6.5,18.8
2019-01-31,CHE,6.5,18.7
2013-01-31,DNK,28.5,18.692019334922
2002-04-30,DNK,24.75,18.612876326308
2020-01-31,CHE,6.5,18.398
2007-01-31,EUR,2.94,18.29847826087
2018-01-31,NOR,49.0,18.218914794755
2013-01-31,BEL,3.8,18.066009969709
2015-07-31,NOR,46.0,17.940206597142
2006-05-31,GBR,1.94,17.67664516129
2012-01-31,AUS,4.8,17.614992780936
2010-07-31,COL,8200.0,17.553510740377
2007-06-30,GBR,1.99,17.512126099707
2002-04-30,VEN,2500.0,17.154733285534
2005-06-30,EUR,2.92,17.095816993464
2011-07-31,COL,8400.0,16.71396013593
2013-01-31,FIN,3.75,16.512509838529
2012-07-31,CAN,5.12,16.055827953355
2010-07-31,EUR,3.3800310707681,16.049745352962
2004-05-31,GBR,1.88,16.041379310345
2003-04-30,GBR,1.99,16.022140221402
2013-07-31,BRA,12.0,15.980182917179
2018-01-31,SWE,49.1,15.968005490128
2002-04-30,GBR,1.99,15.883534136546
2014-01-31,BEL,3.95,15.869039466571
2013-07-31,FIN,4.1,15.689283101683
2013-07-31,CAN,5.53,15.444131981382
2001-04-30,DNK,24.75,15.178421846205
2014-07-31,FIN,4.1,15.120646506778
2011-07-31,GRC,3.26,14.974145141451
2011-07-31,ISR,15.9,14.929087939564
2012-01-31,IRL,3.8,14.85864453138
2011-07-31,NLD,3.25,14.621463714637
2008-06-30,CAN,4.09,14.16055635547
2012-07-31,BRA,10.08,14.06064334531
2019-07-31,CHE,6.5,14.0
2014-01-31,BRA,12.4,13.478946522928
2004-05-31,EUR,2.74,13.379310344828
2012-01-31,FIN,3.75,13.34734657702
2013-01-31,DEU,3.64,13.094809549932
2014-01-31,ITA,3.85,12.935646062354
2009-07-31,BRA,8.03,12.628297025084
2021-01-31,SWE,52.88,12.6
2005-06-30,GBR,1.88,12.43137254902
2015-01-31,DNK,34.5,12.234007841286
2013-01-31,AUS,4.7,12.205423712643
2001-04-30,GBR,1.99,12.035433070866
2014-01-31,DNK,28.5,12.030985962498
2017-01-31,NOR,49.0,11.972740076467
2013-01-31,FRA,3.6,11.852009444988
2012-01-31,BEL,3.7,11.83604862266
2013-01-31,EUR,3.5948495721818,11.691985639165
2017-07-31,NOR,49.0,11.587928099116
2006-01-31,EUR,2.91,11.55
2021-07-31,NOR,57.0,11.544
2010-01-31,ISR,14.9,11.507332168369
2014-01-31,FRA,3.8,11.468949360245
2010-01-31,AUS,4.35,11.113693830431
2013-01-31,COL,8600.0,11.051466046329
2010-01-31,CAN,4.12,10.999034416167
2000-04-30,JPN,294.0,10.50139066376
2012-01-31,ARG,20.0,10.4685006839
2012-01-31,CAN,4.73,10.381154881287
2012-01-31,URY,90.0,10.245575817481
2012-07-31,COL,8600.0,10.131233931075
2013-07-31,FRA,3.9,10.045903438186
2022-01-31,NOR,57.0,10.034
2003-04-30,EUR,2.71,10.0
2017-07-31,SWE,48.97,9.7909566285365
2021-07-31,SWE,54.0,9.649000000000001
2010-01-31,COL,8200.0,9.606736376551
2014-07-31,CAN,5.64,9.5130798956655
2014-07-31,FRA,3.9,9.5050052137643
2013-01-31,TUR,8.45,9.387500957621
2016-07-31,NOR,46.8,9.3266571188052
2013-07-31,URY,105.0,9.2869822377429
2008-06-30,COL,7000.0,9.0142225405438
2011-07-31,AUT,3.09,8.9785608856088
2012-01-31,FRA,3.6,8.8134527139393
2013-01-31,ESP,3.5,8.745009182627
2015-01-31,BRA,13.5,8.70201938157
2011-07-31,NZL,5.1,8.5239852398524
2014-01-31,ISR,17.5,8.4933681982111
2013-01-31,IRL,3.49,8.4343091563909
2014-01-31,CAN,5.54,8.4113386453693
2000-04-30,SWE,24.0,8.1646265616268
2012-07-31,AUS,4.56,8.1491854419411
2014-07-31,ITA,3.85,8.1010948905109
2012-01-31,COL,8400.0,8.0541363464085
2007-06-30,CAN,3.88,8.0098639729897
2000-04-30,KOR,3000.0,7.8717620492758
2013-07-31,DNK,28.5,7.8262947901285
2010-01-31,HUN,720.0,7.7505793898307
2014-01-31,DEU,3.67,7.655537934763
